name
Werkzeug 0.12.2
tushare 0.8.9
traitlets 4.3.2
ssh2 1.5
six 1.10.0
s3transfer 0.1.9
robobrowser 0.5.3
pytz 2017.2
python-dateutil 2.5.3
pyparsing 2.2.0
pygame 1.9.3
pycparser 2.17
pyasn1 0.2.2
psutil 5.3.0
plotly 2.0.15
paramiko 2.1.2
pandas 0.20.3
numexpr 2.6.2
nltk 3.2.2
nbformat 4.4.0
matplotlib 2.0.2
lxml 3.8.0
keras-diagram 1.0.5
jupyter-core 4.3.0
jsonschema 2.6.0
jmespath 0.9.0
ipython-genutils 0.2.0
ipaddress 1.0.18
idna 2.2
futures 3.0.5
functools32 3.2.3.post2
enum34 1.1.6
docutils 0.12
decorator 4.1.2
cycler 0.10.0
cv2wrap 1.0
cryptography 1.7.2
chardet 3.0.3
cffi 1.9.1
bs4 0.0.1
botocore 1.4.70
boto3 1.4.1
beautifulsoup4 4.6.0
avro 1.8.1
arrow 0.10.0
xlwt 1.1.2
xlrd 1.0.0
snownlp 0.12.3
sklearn 0.0
setuptools 18.2
scipy 0.19.1
scikit-learn 0.19.0
requests 2.11.1
py4j 0.10.2.1
pip 9.0.1
numpy 1.13.1+mkl
MySQL-python 1.2.5
Django 1.11.3
demjson 2.2.4
bosonnlp 0.7.0
